Product#,Sub-Kit PN,CAS#,ComponentName,"WeightConversion",% (w/w),"毒化物
Toxic",關注化學物質 Concerned Chemical Substances,優先化學品Priority substance,管制性化學品Controlled,先驅化學品Precurosr,新化學物質New Chemical,空汙申請ODS,既有化學物質Existing Chemical ,備註,備註2,,,,,,,,,,,,,
DWM-583-1,,107-06-2,ethylene dichloride,0.0253,% (w/w),N 4類，限值15%,N,N 1目，限值1%,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-583-1,,71-55-6,methyl chloroform,0.0253,% (w/w),N,N,N 2目少量,N,N,N,Y,N 少量,,空汙申請,,,,,,,,,,,,,
DWM-583-1,,78-87-5,"1,2-dichloropropane",0.0253,% (w/w),N 1類，限值1%,N,N,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-583-1,,79-01-6,trichloroethylene,0.0253,% (w/w),"N 1,2類，限值10%",N,N 附錄一限值>1%,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-583-1,,108-90-7,chlorobenzene,0.0253,% (w/w),N 1類，限值1%,N,N 2目少量,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-583-1,,108-86-1,bromobenzene,0.0253,% (w/w),N,N,N,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-588-1,VOC standard,67-56-1,methanol,84.832,% (w/w),N,N,N 2目少量,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-588-1,VOC standard,541-73-1,"1,3-dichlorobenzene",0.2528,% (w/w),N 1類，限值1%,N,N,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-588-1,VOC standard,106-46-7,"1,4-dichlorobenzene",0.2528,% (w/w),N,N,N 2目少量,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-588-1,VOC standard,156-60-5,"trans-1,2-dichloroethene",0.2528,% (w/w),N 4類，限值25%,N,N,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-588-1,VOC standard,75-34-3,"1,1-dichloroethane",0.2528,% (w/w),N,N,N,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-588-1,VOC standard,156-59-2,"cis-1,2-dichloroethene",0.2528,% (w/w),N 4類，限值25%,N,N,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-588-1,VOC standard,75-35-4,"1,1-dichloroethene",0.2528,% (w/w),N 4類，限值25%,N,N,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-588-1,VOC standard,87-68-3,hexachlorobutadiene,0.2528,% (w/w),N 1類，限值1%,N,N,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-588-1,VOC standard,630-20-6,"1,1,1,2-Tetrachloroethane",0.2528,% (w/w),N,N,N 2目少量,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-588-1,VOC standard,79-34-5,Acetylene tetrachloride,0.2528,% (w/w),N 4類，限值1%,N,N 2目少量,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-588-1,VOC standard,87-61-6,"1,2,3-trichlorobenzene",0.2528,% (w/w),N,N,N,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-588-1,VOC standard,75-69-4,trichlorofluoromethane,0.2528,% (w/w),N,N,N,N,N,N,Y,N 少量,三氯氟甲烷 2.009mg,空汙申請,,,,,,,,,,,,,
DWM-588-1,VOC standard,96-18-4,"1,2,3-trichloropropane",0.2528,% (w/w),N 2類，限值1%,N,N,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-588-1,VOC standard,120-82-1,"1,2,4-trichlorobenzene",0.2528,% (w/w),N 1類，限值1%,N,N,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-588-1,VOC standard,95-47-6,"1,2-Dimethylbenzene",0.2528,% (w/w),N,N,N 2目少量,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-588-1,VOC standard,108-38-3,"1,3-Dimethylbenzene",0.2528,% (w/w),N,N,N 2目少量,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-588-1,VOC standard,106-42-3,"1,4- Dimethylbenzene",0.2528,% (w/w),N,N,N 2目少量,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-588-1,VOC standard,79-00-5,"1,1,2-trichloroethane",0.2528,% (w/w),N,N,N 2目少量,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-588-1,VOC standard,91-20-3,naphthalene,0.2528,% (w/w),N,N,N 2目少量,N,N,N,N,N 年用量無超過,萘,,,,,,,,,,,,,,
DWM-588-1,VOC standard,127-18-4,perchloroethylene,0.2528,% (w/w),"N 1,2類，限值10%",N,N 2目少量,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-588-1,VOC standard,103-65-1,n-Propylbenzene,0.2528,% (w/w),N,N,N,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-588-1,VOC standard,71-43-2,benzene,0.2528,% (w/w),"N 1,2類，限值70%",N,N 1目，限值1%,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-588-1,VOC standard,108-88-3,toluene,0.2528,% (w/w),N,N,N 2目少量,N,N 乙類，限值100%,N,N,N 年用量無超過,,,,,,,,,,,,,,,
DWM-588-1,VOC standard,100-41-4,ethylbenzene,0.2528,% (w/w),N 4類，限值70%,N,N,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-588-1,VOC standard,98-82-8,isopropylbenzene,0.2528,% (w/w),N 4類，限值1%,N,N,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-588-1,VOC standard,108-67-8,"1,3,5-trimethylbenzene",0.2528,% (w/w),N,N,N,N,N,N,N,N 年用量無超過,,,,,,,,,,,,,,,
DWM-588-1,VOC standard,100-42-5,Vinylbenzene,0.2528,% (w/w),N,N,N 2目少量,N,N,N,N,N 年用量無超過,,,,,,,,,,,,,,,
DWM-588-1,VOC standard,95-63-6,"1,2,4-trimethylbenzene",0.2528,% (w/w),N,N,N,N,N,N,N,N 年用量無超過,,,,,,,,,,,,,,,
DWM-588-1,VOC standard,75-09-2,METHYLENE DICHLORIDE,0.2528,% (w/w),N 4類，限值25%,N,N 2目少量,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-588-1,VOC standard,56-23-5,carbon tetrachloride,0.2528,% (w/w),N 1類，限值50%,N,N 2目少量,N,N,N,Y,N 少量,四氯化碳 2.01mg CCl4,空汙申請,,,,,,,,,,,,,
DWM-588-1,VOC standard,107-06-2,ethylene dichloride,0.2528,% (w/w),N 4類，限值15%,N,N 2目少量,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-588-1,VOC standard,71-55-6,methyl chloroform,0.2528,% (w/w),N,N,N,N,N,N,Y,N 少量,"1,1,1-三氯乙烷 2.008mg C2H3Cl3",空汙申請,,,,,,,,,,,,,
DWM-588-1,VOC standard,78-87-5,"1,2-dichloropropane",0.2528,% (w/w),N 1類，限值1%,N,N,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-588-1,VOC standard,79-01-6,trichloroethylene,0.2528,% (w/w),"N 1,2類，限值10%",N,N 附錄一限值>1%,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-588-1,VOC standard,108-90-7,chlorobenzene,0.2528,% (w/w),N 1類，限值1%,N,N 2目少量,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-588-1,VOC standard,95-50-1,"1,2-dichlorobenzene",0.2528,% (w/w),N 1類，限值1%,N,N 2目少量,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-588-1,VOC standard,75-00-3,chloroethane,0.2528,% (w/w),N 1類，限值1%,N,N,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-588-1,VOC standard,74-87-3,chloromethane,0.2528,% (w/w),N 4類，限值25%,N,N,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-588-1,VOC standard,74-83-9,bromomethane,0.2528,% (w/w),N,N,N 2目少量,N,N,N,Y,N 少量,溴甲烷 2.006mg CH3Br,空汙申請,,,,,,,,,,,,,
DWM-588-1,VOC standard,75-01-4,vinyl chloride,0.2528,% (w/w),N 2類，限值50%,N,N 2目少量,N,N,N,N,N 少量,,,,,,,,,,,,,,,
